package_id,package_name,destination,weight_kg
1,Aman Buku 878,Louvin Apartment,"5,36"
2,Mini Makanan 231,Campaka Kost,"4,27"
3,Lite Kabel 662,Awani Studento 1,"2,93"
4,Prioritas Aksesoris 640,Guest House 65,"0,83"
5,Aman Souvenir 533,Kost Anggrek,"3,55"
6,Reguler Parfum 873,SMPN 1 Jatinangor,"4,568"
7,Prime Peralatan 830,Bale Siswa,"2,93"
8,Cargo Jam 787,Pondok Amaya,"1,32"
9,Lite Sepatu 548,Skyland Apartment,"2,2"
10,Fragile Charger 562,Pondok Setiawan,"1,2"
11,Kilat Mainan 330,Guest House 65,"5,1"
12,Kilat Perabot 121,Awani Studento 1,"5,18"
13,Heavy Parfum 335,Sabar Subur,"5,1"
14,Heavy Mainan 107,Bale Siswa,"3,42"
15,Kilat Dokumen 334,Guest House 65,"2,79"
16,Kilat Dokumen 980,Pinewood,"0,82"
17,Paket Buku 626,Sabar Subur,"2,13"
18,Reguler Aksesoris 785,SMPN 1 Jatinangor,"5,21"
19,Super Peralatan 652,Skyland Apartment,"4,2"
20,Prioritas Alat Tulis 690,Pondok Setiawan,"1,81"
21,Super Mainan 903,Sabar Subur,"1,7"
22,Super Kacamata 294,Pinewood,"3,21"
23,Kilat Pakaian 774,Guest House 65,"0,7"
24,Spesial Sepatu 533,Bale Siswa,4
